id	chr	start	end	tag	tag%	abs
chr10:41870634-41870634	chr10	41870634	41870634	1	0.28328611898017	0.120045
chr4:151888661-151888661	chr4	151888661	151888661	1	0.28328611898017	0.120045
chr15:83969903-83969903	chr15	83969903	83969903	1	0.28328611898017	0.120045
chr5:22998741-22998741	chr5	22998741	22998741	2	0.56657223796034	0.24009
chr12:84874636-84874662	chr12	84874636	84874662	3	0.84985835694051	0.360135
chr12:755206-755206	chr12	755206	755206	2	0.56657223796034	0.24009
chr4:64416442-64416486	chr4	64416442	64416486	6	1.69971671388102	0.72027
chrY:11220879-11220879	chrY	11220879	11220879	2	0.56657223796034	0.24009
chr21:8987718-8987718	chr21	8987718	8987718	1	0.28328611898017	0.120045
chr17:10923164-10923164	chr17	10923164	10923164	1	0.28328611898017	0.120045
chr13:57634604-57634604	chr13	57634604	57634604	2	0.56657223796034	0.24009
chr13:26255376-26255419	chr13	26255376	26255419	2	0.56657223796034	0.24009
chr4:74581431-74581431	chr4	74581431	74581431	2	0.56657223796034	0.24009
chr11:86668906-86668906	chr11	86668906	86668906	1	0.28328611898017	0.120045
chr1:248263610-248263616	chr1	248263610	248263616	4	1.13314447592068	0.48018
chr10:35098435-35098469	chr10	35098435	35098469	2	0.56657223796034	0.24009
chr2:168655385-168655385	chr2	168655385	168655385	1	0.28328611898017	0.120045
chr17:72423872-72423872	chr17	72423872	72423872	1	0.28328611898017	0.120045
chr4:23444685-23444685	chr4	23444685	23444685	2	0.56657223796034	0.24009
chr10:41860286-41860286	chr10	41860286	41860286	2	0.56657223796034	0.24009
chr2:155913185-155913185	chr2	155913185	155913185	4	1.13314447592068	0.48018
chrX:110310777-110310777	chrX	110310777	110310777	1	0.28328611898017	0.120045
chr5:120277619-120277619	chr5	120277619	120277619	2	0.56657223796034	0.24009
chr6:156452752-156452752	chr6	156452752	156452752	1	0.28328611898017	0.120045
chr14:82624977-82624977	chr14	82624977	82624977	1	0.28328611898017	0.120045
