id	chr	start	end	tag	tag%
chr2:83784785-83784785	chr2	83784785	83784785	2	0.68259385665529
chr20:25755310-25755310	chr20	25755310	25755310	2	0.68259385665529
chr10:13094025-13094025	chr10	13094025	13094025	2	0.68259385665529
chr17:21643931-21643931	chr17	21643931	21643931	2	0.68259385665529
chr11:27318791-27318791	chr11	27318791	27318791	2	0.68259385665529
chr9:124001571-124001571	chr9	124001571	124001571	3	1.02389078498294
chr17:80397497-80397497	chr17	80397497	80397497	2	0.68259385665529
chr7:1431517-1431517	chr7	1431517	1431517	2	0.68259385665529
chr4:10994668-10994668	chr4	10994668	10994668	3	1.02389078498294
chr7:72475525-72475535	chr7	72475525	72475535	2	0.68259385665529
chr12:86537751-86537751	chr12	86537751	86537751	2	0.68259385665529
chr6:116986353-116986386	chr6	116986353	116986386	8	2.73037542662116
chr11:24227627-24227671	chr11	24227627	24227671	2	0.68259385665529
chr18:12483512-12483512	chr18	12483512	12483512	2	0.68259385665529
chr1:239568691-239568692	chr1	239568691	239568692	4	1.36518771331058
chr6:65562836-65562874	chr6	65562836	65562874	4	1.36518771331058
chr5:52471608-52471610	chr5	52471608	52471610	2	0.68259385665529
chr10:86103808-86103808	chr10	86103808	86103808	4	1.36518771331058
chr4:57343-57343	chr4	57343	57343	2	0.68259385665529
chr11:41988495-41988495	chr11	41988495	41988495	2	0.68259385665529
chr19:20374826-20374834	chr19	20374826	20374834	2	0.68259385665529
chr7:82918284-82918291	chr7	82918284	82918291	2	0.68259385665529
chr7:20411081-20411081	chr7	20411081	20411081	2	0.68259385665529
chr2:212188854-212188898	chr2	212188854	212188898	2	0.68259385665529
chr5:40340014-40340060	chr5	40340014	40340060	2	0.68259385665529
chr4:26866018-26866030	chr4	26866018	26866030	2	0.68259385665529
chr6:69175799-69175799	chr6	69175799	69175799	2	0.68259385665529
chrY:4346381-4346381	chrY	4346381	4346381	2	0.68259385665529
chr7:58172654-58173289	chr7	58172654	58173289	3	1.02389078498294
chr11:43182904-43182904	chr11	43182904	43182904	2	0.68259385665529
chr11:35547535-35547535	chr11	35547535	35547535	2	0.68259385665529
chr2:83197679-83197679	chr2	83197679	83197679	2	0.68259385665529
chr7:116913532-116913532	chr7	116913532	116913532	2	0.68259385665529
chr4:90943347-90943347	chr4	90943347	90943347	2	0.68259385665529
chr4:83233036-83233036	chr4	83233036	83233036	2	0.68259385665529
chr18:4031881-4031881	chr18	4031881	4031881	2	0.68259385665529
chr7:64033464-64033464	chr7	64033464	64033464	2	0.68259385665529
chr2:237693177-237693182	chr2	237693177	237693182	7	2.38907849829352
chr2:18561907-18561907	chr2	18561907	18561907	2	0.68259385665529
chr4:159986101-159986101	chr4	159986101	159986101	2	0.68259385665529
chr11:79481705-79481705	chr11	79481705	79481705	2	0.68259385665529
chr8:15862091-15862091	chr8	15862091	15862091	4	1.36518771331058
chr5:25788275-25788275	chr5	25788275	25788275	2	0.68259385665529
chr7:136224155-136224155	chr7	136224155	136224155	2	0.68259385665529
chr11:78461681-78461681	chr11	78461681	78461681	2	0.68259385665529
chr21:8213282-8213282	chr21	8213282	8213282	4	1.36518771331058
chr14:87343754-87343754	chr14	87343754	87343754	2	0.68259385665529
chr10:81982482-81982482	chr10	81982482	81982482	2	0.68259385665529
chr11:21177783-21177783	chr11	21177783	21177783	2	0.68259385665529
chr8:68141866-68141866	chr8	68141866	68141866	2	0.68259385665529
chr4:189261542-189261555	chr4	189261542	189261555	2	0.68259385665529
chr10:95127821-95127823	chr10	95127821	95127823	3	1.02389078498294
chr9:16816742-16816766	chr9	16816742	16816766	2	0.68259385665529
chr1:165615325-165615325	chr1	165615325	165615325	2	0.68259385665529
chr10:84142917-84142957	chr10	84142917	84142957	2	0.68259385665529
chr17:54262031-54262031	chr17	54262031	54262031	4	1.36518771331058
chr1:177220991-177220991	chr1	177220991	177220991	4	1.36518771331058
chr4:183498306-183498306	chr4	183498306	183498306	2	0.68259385665529
chr10:53419310-53419310	chr10	53419310	53419310	2	0.68259385665529
chr13:104863867-104863867	chr13	104863867	104863867	2	0.68259385665529
chr10:83877912-83877912	chr10	83877912	83877912	2	0.68259385665529
chr14:79404986-79404986	chr14	79404986	79404986	2	0.68259385665529
chr14:82420719-82420719	chr14	82420719	82420719	2	0.68259385665529
chr11:12140886-12140886	chr11	12140886	12140886	2	0.68259385665529
chr8:115366614-115366614	chr8	115366614	115366614	3	1.02389078498294
