id	chr	start	end	tag	tag%
chr3:139920921-139920921	chr3	139920921	139920921	1	0.318471337579618
chr6:37564928-37564928	chr6	37564928	37564928	1	0.318471337579618
chr1:200487900-200487900	chr1	200487900	200487900	1	0.318471337579618
chr1:84189809-84189809	chr1	84189809	84189809	1	0.318471337579618
chr6:75579684-75579684	chr6	75579684	75579684	1	0.318471337579618
chr18:535245-535245	chr18	535245	535245	2	0.636942675159236
chr5:96653568-96653568	chr5	96653568	96653568	1	0.318471337579618
chr2:236665729-236665729	chr2	236665729	236665729	1	0.318471337579618
chr10:17208251-17208251	chr10	17208251	17208251	1	0.318471337579618
chr5:96440687-96440687	chr5	96440687	96440687	1	0.318471337579618
chr18:19776064-19776064	chr18	19776064	19776064	1	0.318471337579618
chr15:95894717-95894717	chr15	95894717	95894717	1	0.318471337579618
chr21:8240725-8240727	chr21	8240725	8240727	2	0.636942675159236
chr12:41308845-41308845	chr12	41308845	41308845	1	0.318471337579618
chr6:170651149-170651149	chr6	170651149	170651149	1	0.318471337579618
chr10:46216166-46216166	chr10	46216166	46216166	1	0.318471337579618
chrY:286741-286741	chrY	286741	286741	1	0.318471337579618
chr17:39454061-39454061	chr17	39454061	39454061	1	0.318471337579618
chr20:29587758-29587758	chr20	29587758	29587758	1	0.318471337579618
chr3:155391209-155391209	chr3	155391209	155391209	1	0.318471337579618
chr20:61948123-61948123	chr20	61948123	61948123	1	0.318471337579618
chr2:146566912-146566912	chr2	146566912	146566912	1	0.318471337579618
chrY:3431443-3431443	chrY	3431443	3431443	1	0.318471337579618
chr12:31882477-31882477	chr12	31882477	31882477	1	0.318471337579618
chr4:30717052-30717052	chr4	30717052	30717052	1	0.318471337579618
chr3:30734130-30734130	chr3	30734130	30734130	1	0.318471337579618
chr1:155475375-155475375	chr1	155475375	155475375	1	0.318471337579618
chr11:118294544-118295298	chr11	118294544	118295298	3	0.955414012738854
chrY:56843805-56843856	chrY	56843805	56843856	2	0.636942675159236
chr14:39215550-39215550	chr14	39215550	39215550	1	0.318471337579618
chr9:98895403-98895447	chr9	98895403	98895447	4	1.27388535031847
chr13:29933264-29933310	chr13	29933264	29933310	5	1.59235668789809
chr2:164961769-164961769	chr2	164961769	164961769	1	0.318471337579618
chr11:91591519-91591519	chr11	91591519	91591519	1	0.318471337579618
chr11:10966259-10966259	chr11	10966259	10966259	1	0.318471337579618
chr1:228630392-228630392	chr1	228630392	228630392	1	0.318471337579618
chr20:32680484-32680484	chr20	32680484	32680484	1	0.318471337579618
chr4:119525023-119525044	chr4	119525023	119525044	3	0.955414012738854
chr18:37326638-37326660	chr18	37326638	37326660	3	0.955414012738854
chr19:17829813-17829813	chr19	17829813	17829813	1	0.318471337579618
chr5:142004986-142004986	chr5	142004986	142004986	1	0.318471337579618
chr5:64784825-64784825	chr5	64784825	64784825	1	0.318471337579618
chr9:135462364-135462364	chr9	135462364	135462364	1	0.318471337579618
chr3:146413382-146413382	chr3	146413382	146413382	1	0.318471337579618
chr19:28849280-28849315	chr19	28849280	28849315	2	0.636942675159236
chr1:179944738-179944738	chr1	179944738	179944738	1	0.318471337579618
chr3:34871734-34871734	chr3	34871734	34871734	1	0.318471337579618
chr17:49853748-49853760	chr17	49853748	49853760	2	0.636942675159236
chr19:5581035-5581035	chr19	5581035	5581035	1	0.318471337579618
chr13:39168752-39168752	chr13	39168752	39168752	1	0.318471337579618
chr2:69986619-69986619	chr2	69986619	69986619	1	0.318471337579618
chr11:19653061-19653061	chr11	19653061	19653061	1	0.318471337579618
chr5:176375564-176375564	chr5	176375564	176375564	1	0.318471337579618
chr8:35608772-35608772	chr8	35608772	35608772	1	0.318471337579618
chr8:78758509-78758509	chr8	78758509	78758509	1	0.318471337579618
chr5:173663467-173663467	chr5	173663467	173663467	1	0.318471337579618
chr1:26122380-26122380	chr1	26122380	26122380	1	0.318471337579618
chr10:89757585-89757585	chr10	89757585	89757585	1	0.318471337579618
chr10:54928325-54928325	chr10	54928325	54928325	1	0.318471337579618
chr11:76044-76044	chr11	76044	76044	1	0.318471337579618
chr9:119186447-119186447	chr9	119186447	119186447	1	0.318471337579618
chr14:99420966-99420966	chr14	99420966	99420966	1	0.318471337579618
chr9:114856417-114856417	chr9	114856417	114856417	1	0.318471337579618
chr13:54621165-54621165	chr13	54621165	54621165	1	0.318471337579618
chr15:49040489-49040489	chr15	49040489	49040489	1	0.318471337579618
chr11:13065677-13065677	chr11	13065677	13065677	1	0.318471337579618
chr14:40923365-40923365	chr14	40923365	40923365	1	0.318471337579618
chr1:113798817-113798817	chr1	113798817	113798817	1	0.318471337579618
chr4:173537553-173537553	chr4	173537553	173537553	1	0.318471337579618
chrX:286741-286741	chrX	286741	286741	1	0.318471337579618
chr20:63774056-63774056	chr20	63774056	63774056	1	0.318471337579618
chr1:214428962-214428962	chr1	214428962	214428962	1	0.318471337579618
chr22:14284450-14284450	chr22	14284450	14284450	1	0.318471337579618
chr1:79466776-79466776	chr1	79466776	79466776	1	0.318471337579618
chr4:1537244-1537244	chr4	1537244	1537244	1	0.318471337579618
chr11:2121144-2121144	chr11	2121144	2121144	1	0.318471337579618
chr9:117749214-117749214	chr9	117749214	117749214	1	0.318471337579618
chr3:174116881-174116881	chr3	174116881	174116881	1	0.318471337579618
chr3:6213340-6213340	chr3	6213340	6213340	1	0.318471337579618
chr18:44951948-44951948	chr18	44951948	44951948	1	0.318471337579618
chr1:1577818-1577818	chr1	1577818	1577818	1	0.318471337579618
chrX:104145328-104145328	chrX	104145328	104145328	1	0.318471337579618
chr20:17573985-17573985	chr20	17573985	17573985	1	0.318471337579618
chr17:43706549-43706549	chr17	43706549	43706549	1	0.318471337579618
chr5:61247966-61247966	chr5	61247966	61247966	1	0.318471337579618
chr6:28944641-28944641	chr6	28944641	28944641	1	0.318471337579618
chr6:142828357-142828357	chr6	142828357	142828357	1	0.318471337579618
chr17:9242982-9242982	chr17	9242982	9242982	1	0.318471337579618
chr4:21178583-21178583	chr4	21178583	21178583	1	0.318471337579618
chr1:239553527-239553527	chr1	239553527	239553527	1	0.318471337579618
chr4:173228938-173228938	chr4	173228938	173228938	2	0.636942675159236
chr14:29064913-29064913	chr14	29064913	29064913	1	0.318471337579618
chr2:220551004-220551004	chr2	220551004	220551004	1	0.318471337579618
chrY:8349197-8349197	chrY	8349197	8349197	1	0.318471337579618
chr1:118083729-118083729	chr1	118083729	118083729	1	0.318471337579618
chrY:1225872-1225872	chrY	1225872	1225872	1	0.318471337579618
chr8:6653720-6653720	chr8	6653720	6653720	1	0.318471337579618
chr6:62981930-62981930	chr6	62981930	62981930	1	0.318471337579618
chr5:144450689-144450689	chr5	144450689	144450689	1	0.318471337579618
chr18:19541689-19541689	chr18	19541689	19541689	1	0.318471337579618
chr4:161182972-161182972	chr4	161182972	161182972	1	0.318471337579618
chr2:173877-173877	chr2	173877	173877	1	0.318471337579618
chr13:87873751-87873751	chr13	87873751	87873751	1	0.318471337579618
chr13:57032557-57032557	chr13	57032557	57032557	2	0.636942675159236
chr4:158769256-158769256	chr4	158769256	158769256	1	0.318471337579618
chr5:144105724-144105724	chr5	144105724	144105724	1	0.318471337579618
chr6:7944601-7944601	chr6	7944601	7944601	1	0.318471337579618
chr2:68742499-68742499	chr2	68742499	68742499	1	0.318471337579618
chr4:115724722-115724723	chr4	115724722	115724723	2	0.636942675159236
chr2:32916373-32916537	chr2	32916373	32916537	2	0.636942675159236
chr6:15535726-15535726	chr6	15535726	15535726	1	0.318471337579618
chr9:119844863-119844863	chr9	119844863	119844863	1	0.318471337579618
chr12:121040172-121040172	chr12	121040172	121040172	1	0.318471337579618
chr15:17675520-17675520	chr15	17675520	17675520	1	0.318471337579618
chr1:208893123-208893123	chr1	208893123	208893123	1	0.318471337579618
chr4:190178341-190178341	chr4	190178341	190178341	1	0.318471337579618
chr8:14363894-14363894	chr8	14363894	14363894	2	0.636942675159236
chr2:31399027-31399027	chr2	31399027	31399027	1	0.318471337579618
chr12:118746599-118746599	chr12	118746599	118746599	1	0.318471337579618
chr16:34573927-34573927	chr16	34573927	34573927	1	0.318471337579618
chr21:19742604-19742604	chr21	19742604	19742604	1	0.318471337579618
chr5:111999607-111999607	chr5	111999607	111999607	1	0.318471337579618
chr3:128654952-128654952	chr3	128654952	128654952	1	0.318471337579618
chr6:75414865-75414865	chr6	75414865	75414865	1	0.318471337579618
chr11:108011375-108011375	chr11	108011375	108011375	1	0.318471337579618
chr4:113680706-113680722	chr4	113680706	113680722	2	0.636942675159236
chr1:171740584-171740584	chr1	171740584	171740584	1	0.318471337579618
chr3:97227391-97227391	chr3	97227391	97227391	1	0.318471337579618
chr16:17129089-17129089	chr16	17129089	17129089	1	0.318471337579618
chr21:26165309-26165309	chr21	26165309	26165309	1	0.318471337579618
chr20:18160817-18160817	chr20	18160817	18160817	1	0.318471337579618
chr10:56622007-56622007	chr10	56622007	56622007	1	0.318471337579618
chr3:92373688-92373688	chr3	92373688	92373688	1	0.318471337579618
chr6:99547581-99547581	chr6	99547581	99547581	1	0.318471337579618
chr15:25794444-25794444	chr15	25794444	25794444	1	0.318471337579618
chr14:104780241-104780241	chr14	104780241	104780241	1	0.318471337579618
chr11:7296700-7296706	chr11	7296700	7296706	2	0.636942675159236
chr1:125180504-125180504	chr1	125180504	125180504	1	0.318471337579618
chr2:58809737-58809737	chr2	58809737	58809737	2	0.636942675159236
chr5:7436280-7436280	chr5	7436280	7436280	1	0.318471337579618
chr5:511316-511354	chr5	511316	511354	2	0.636942675159236
chr21:18804491-18804491	chr21	18804491	18804491	1	0.318471337579618
chr18:18740925-18740925	chr18	18740925	18740925	1	0.318471337579618
chr13:37277404-37277404	chr13	37277404	37277404	1	0.318471337579618
chr6:120089741-120089741	chr6	120089741	120089741	1	0.318471337579618
chr14:67462330-67462330	chr14	67462330	67462330	1	0.318471337579618
chr8:16123910-16123910	chr8	16123910	16123910	1	0.318471337579618
chr13:68604706-68604706	chr13	68604706	68604706	1	0.318471337579618
chr5:56310180-56310180	chr5	56310180	56310180	1	0.318471337579618
chr14:102667348-102667348	chr14	102667348	102667348	1	0.318471337579618
