id	chr	start	end	tag	tag%	abs
chr6:45157216-45157216	chr6	45157216	45157216	1	0.662251655629139	0.314256
chr13:31276917-31276917	chr13	31276917	31276917	1	0.662251655629139	0.314256
chr3:141500848-141500848	chr3	141500848	141500848	1	0.662251655629139	0.314256
chr8:119934480-119934480	chr8	119934480	119934480	2	1.32450331125828	0.628513
chr4:28320847-28320847	chr4	28320847	28320847	2	1.32450331125828	0.628513
chr15:24538322-24538322	chr15	24538322	24538322	1	0.662251655629139	0.314256
chr17:72867990-72867990	chr17	72867990	72867990	1	0.662251655629139	0.314256
chr19:57272028-57272028	chr19	57272028	57272028	2	1.32450331125828	0.628513
chr20:13249937-13249937	chr20	13249937	13249937	1	0.662251655629139	0.314256
chr22:32523755-32523755	chr22	32523755	32523755	1	0.662251655629139	0.314256
chr10:133687039-133687039	chr10	133687039	133687039	1	0.662251655629139	0.314256
chrX:77923782-77923782	chrX	77923782	77923782	1	0.662251655629139	0.314256
chr1:16585118-16585124	chr1	16585118	16585124	4	2.64900662251656	1.25703
chr1:98908278-98908278	chr1	98908278	98908278	1	0.662251655629139	0.314256
chr8:38968044-38968044	chr8	38968044	38968044	3	1.98675496688742	0.942769
chr8:94817213-94817213	chr8	94817213	94817213	4	2.64900662251656	1.25703
chr2:108707126-108707126	chr2	108707126	108707126	1	0.662251655629139	0.314256
chr1:16578827-16578827	chr1	16578827	16578827	2	1.32450331125828	0.628513
chr20:37832824-37832824	chr20	37832824	37832824	2	1.32450331125828	0.628513
chr21:30246462-30246462	chr21	30246462	30246462	1	0.662251655629139	0.314256
chr21:13185087-13185087	chr21	13185087	13185087	1	0.662251655629139	0.314256
chr20:8827369-8827369	chr20	8827369	8827369	1	0.662251655629139	0.314256
chr21:39011361-39011365	chr21	39011361	39011365	2	1.32450331125828	0.628513
chr11:99568506-99568506	chr11	99568506	99568506	3	1.98675496688742	0.942769
chr2:32916580-32916580	chr2	32916580	32916580	1	0.662251655629139	0.314256
chr18:16295606-16295606	chr18	16295606	16295606	1	0.662251655629139	0.314256
chr16:21563573-21563573	chr16	21563573	21563573	1	0.662251655629139	0.314256
chr2:183143713-183143713	chr2	183143713	183143713	2	1.32450331125828	0.628513
chr4:49335961-49335961	chr4	49335961	49335961	1	0.662251655629139	0.314256
chr7:21440721-21440721	chr7	21440721	21440721	1	0.662251655629139	0.314256
chr6:106109113-106109113	chr6	106109113	106109113	1	0.662251655629139	0.314256
chr13:30376673-30376673	chr13	30376673	30376673	1	0.662251655629139	0.314256
chr6:36103786-36103786	chr6	36103786	36103786	1	0.662251655629139	0.314256
chr1:67071968-67071968	chr1	67071968	67071968	2	1.32450331125828	0.628513
chr1:104752005-104752005	chr1	104752005	104752005	1	0.662251655629139	0.314256
chr10:45972619-45972638	chr10	45972619	45972638	2	1.32450331125828	0.628513
chr10:41851056-41851056	chr10	41851056	41851056	2	1.32450331125828	0.628513
chr5:71791590-71791624	chr5	71791590	71791624	2	1.32450331125828	0.628513
chr4:159592244-159592244	chr4	159592244	159592244	1	0.662251655629139	0.314256
chr14:41824502-41824502	chr14	41824502	41824502	1	0.662251655629139	0.314256
chr10:35921912-35921916	chr10	35921912	35921916	2	1.32450331125828	0.628513
chr4:22646025-22646025	chr4	22646025	22646025	2	1.32450331125828	0.628513
chr22:11878412-11878412	chr22	11878412	11878412	1	0.662251655629139	0.314256
chrY:10799283-10799283	chrY	10799283	10799283	4	2.64900662251656	1.25703
chr6:121780674-121780674	chr6	121780674	121780674	2	1.32450331125828	0.628513
chr5:80877885-80877932	chr5	80877885	80877932	2	1.32450331125828	0.628513
chr12:35902011-35902011	chr12	35902011	35902011	1	0.662251655629139	0.314256
chr2:99780927-99780927	chr2	99780927	99780927	1	0.662251655629139	0.314256
chr19:25587396-25587396	chr19	25587396	25587396	1	0.662251655629139	0.314256
chr7:19717197-19717202	chr7	19717197	19717202	4	2.64900662251656	1.25703
chrX:58540657-58540657	chrX	58540657	58540657	1	0.662251655629139	0.314256
chr5:84567102-84567102	chr5	84567102	84567102	1	0.662251655629139	0.314256
chr8:112151784-112151784	chr8	112151784	112151784	1	0.662251655629139	0.314256
chr2:25345386-25345386	chr2	25345386	25345386	1	0.662251655629139	0.314256
chr14:104776007-104776007	chr14	104776007	104776007	1	0.662251655629139	0.314256
