id	chr	start	end	tag	tag%	abs
chr9:122934444-122934444	chr9	122934444	122934444	2	0.305810397553517	0.125037
chr17:30747993-30747993	chr17	30747993	30747993	1	0.152905198776758	0.0625187
chr6:20251587-20251587	chr6	20251587	20251587	1	0.152905198776758	0.0625187
chr4:105276445-105276445	chr4	105276445	105276445	1	0.152905198776758	0.0625187
chr2:202233140-202233140	chr2	202233140	202233140	1	0.152905198776758	0.0625187
chr10:41859896-41859896	chr10	41859896	41859896	1	0.152905198776758	0.0625187
chr15:30654594-30654594	chr15	30654594	30654594	1	0.152905198776758	0.0625187
chrX:123434857-123434857	chrX	123434857	123434857	2	0.305810397553517	0.125037
chr21:8216090-8216090	chr21	8216090	8216090	1	0.152905198776758	0.0625187
chr6:44388143-44388143	chr6	44388143	44388143	1	0.152905198776758	0.0625187
chr4:71356921-71356926	chr4	71356921	71356926	3	0.458715596330275	0.187556
chr13:69569281-69569281	chr13	69569281	69569281	1	0.152905198776758	0.0625187
chr21:8238918-8238918	chr21	8238918	8238918	1	0.152905198776758	0.0625187
chr17:67011761-67011786	chr17	67011761	67011786	2	0.305810397553517	0.125037
chr2:175268866-175268866	chr2	175268866	175268866	1	0.152905198776758	0.0625187
chr1:143264159-143264159	chr1	143264159	143264159	1	0.152905198776758	0.0625187
chr19:50552339-50552339	chr19	50552339	50552339	1	0.152905198776758	0.0625187
chr15:48420411-48420411	chr15	48420411	48420411	1	0.152905198776758	0.0625187
chr15:31494967-31494967	chr15	31494967	31494967	1	0.152905198776758	0.0625187
chr8:82582926-82582926	chr8	82582926	82582926	1	0.152905198776758	0.0625187
chr1:125183059-125183059	chr1	125183059	125183059	1	0.152905198776758	0.0625187
chr14:48859187-48859202	chr14	48859187	48859202	4	0.611620795107034	0.250075
chr4:22070472-22070472	chr4	22070472	22070472	1	0.152905198776758	0.0625187
chr2:91705420-91705420	chr2	91705420	91705420	4	0.611620795107034	0.250075
chr9:37651964-37651964	chr9	37651964	37651964	1	0.152905198776758	0.0625187
chr11:101177491-101177491	chr11	101177491	101177491	1	0.152905198776758	0.0625187
chr1:155843101-155843101	chr1	155843101	155843101	1	0.152905198776758	0.0625187
chr3:93470482-93470513	chr3	93470482	93470513	4	0.611620795107034	0.250075
chrX:6996925-6996925	chrX	6996925	6996925	1	0.152905198776758	0.0625187
chr16:86707479-86707479	chr16	86707479	86707479	2	0.305810397553517	0.125037
chr1:212432637-212432637	chr1	212432637	212432637	1	0.152905198776758	0.0625187
chr8:97781373-97781373	chr8	97781373	97781373	1	0.152905198776758	0.0625187
chr9:102418198-102418198	chr9	102418198	102418198	1	0.152905198776758	0.0625187
chr13:48302401-48302401	chr13	48302401	48302401	3	0.458715596330275	0.187556
chr13:95779599-95779599	chr13	95779599	95779599	1	0.152905198776758	0.0625187
chr22:28618709-28618709	chr22	28618709	28618709	1	0.152905198776758	0.0625187
chr7:70150523-70150523	chr7	70150523	70150523	2	0.305810397553517	0.125037
chr4:64665332-64665332	chr4	64665332	64665332	1	0.152905198776758	0.0625187
chrX:44259874-44259874	chrX	44259874	44259874	1	0.152905198776758	0.0625187
chr7:95330140-95330140	chr7	95330140	95330140	1	0.152905198776758	0.0625187
chr7:98221404-98221404	chr7	98221404	98221404	1	0.152905198776758	0.0625187
chrY:16555230-16555230	chrY	16555230	16555230	2	0.305810397553517	0.125037
chr13:52002794-52002799	chr13	52002794	52002799	3	0.458715596330275	0.187556
chr4:176412545-176412545	chr4	176412545	176412545	1	0.152905198776758	0.0625187
chr17:1208677-1208683	chr17	1208677	1208683	4	0.611620795107034	0.250075
chr14:23275304-23275304	chr14	23275304	23275304	1	0.152905198776758	0.0625187
chr10:72286711-72286714	chr10	72286711	72286714	6	0.917431192660551	0.375112
chr11:50137560-50137560	chr11	50137560	50137560	1	0.152905198776758	0.0625187
chr6:87690304-87690304	chr6	87690304	87690304	4	0.611620795107034	0.250075
chr1:157648295-157648295	chr1	157648295	157648295	1	0.152905198776758	0.0625187
chr4:7081824-7081824	chr4	7081824	7081824	1	0.152905198776758	0.0625187
chr5:131520686-131520686	chr5	131520686	131520686	2	0.305810397553517	0.125037
chr4:25656389-25656398	chr4	25656389	25656398	2	0.305810397553517	0.125037
chr19:50711558-50711569	chr19	50711558	50711569	2	0.305810397553517	0.125037
chr14:76981673-76981673	chr14	76981673	76981673	1	0.152905198776758	0.0625187
chr4:45295085-45295085	chr4	45295085	45295085	1	0.152905198776758	0.0625187
chrX:98690903-98690903	chrX	98690903	98690903	2	0.305810397553517	0.125037
chr2:32663211-32663211	chr2	32663211	32663211	1	0.152905198776758	0.0625187
chr1:170988335-170988335	chr1	170988335	170988335	1	0.152905198776758	0.0625187
chr5:45684477-45684477	chr5	45684477	45684477	1	0.152905198776758	0.0625187
chr11:22648626-22648626	chr11	22648626	22648626	3	0.458715596330275	0.187556
chr2:190500042-190500042	chr2	190500042	190500042	1	0.152905198776758	0.0625187
chr16:69854351-69854354	chr16	69854351	69854354	3	0.458715596330275	0.187556
