id	chr	start	end	tag	tag%
chr14:20260404-20260437	chr14	20260404	20260437	21	4.55531453362256
chr3:88907074-88907074	chr3	88907074	88907074	2	0.433839479392625
chr18:59246316-59246346	chr18	59246316	59246346	3	0.650759219088937
chr19:29055100-29055106	chr19	29055100	29055106	2	0.433839479392625
chr16:29474475-29474475	chr16	29474475	29474475	2	0.433839479392625
chr6:74781494-74781494	chr6	74781494	74781494	2	0.433839479392625
chr13:96995474-96995475	chr13	96995474	96995475	2	0.433839479392625
chr11:80923573-80923622	chr11	80923573	80923622	197	42.7331887201735
chr5:19918336-19918336	chr5	19918336	19918336	2	0.433839479392625
chr3:75663789-75663789	chr3	75663789	75663789	2	0.433839479392625
chr1:238637639-238637657	chr1	238637639	238637657	2	0.433839479392625
chr2:168216934-168216934	chr2	168216934	168216934	2	0.433839479392625
chr1:144654235-144654235	chr1	144654235	144654235	3	0.650759219088937
chr8:32252499-32252499	chr8	32252499	32252499	2	0.433839479392625
chr3:93470700-93470700	chr3	93470700	93470700	2	0.433839479392625
chr4:37145124-37145157	chr4	37145124	37145157	3	0.650759219088937
chr4:122347010-122347010	chr4	122347010	122347010	2	0.433839479392625
chr6:133967716-133967754	chr6	133967716	133967754	2	0.433839479392625
chr2:32916424-32916503	chr2	32916424	32916503	4	0.867678958785249
chr9:73878337-73878374	chr9	73878337	73878374	3	0.650759219088937
chr9:40530869-40530911	chr9	40530869	40530911	2	0.433839479392625
chr3:149928564-149928564	chr3	149928564	149928564	2	0.433839479392625
chr8:98883481-98883481	chr8	98883481	98883481	2	0.433839479392625
chr7:59755120-59755120	chr7	59755120	59755120	3	0.650759219088937
chr10:53213585-53213585	chr10	53213585	53213585	2	0.433839479392625
chr13:48554171-48554171	chr13	48554171	48554171	2	0.433839479392625
chr2:89647563-89647569	chr2	89647563	89647569	4	0.867678958785249
chr18:24548629-24548629	chr18	24548629	24548629	2	0.433839479392625
chr21:8407678-8407678	chr21	8407678	8407678	2	0.433839479392625
chr11:108342343-108342343	chr11	108342343	108342343	2	0.433839479392625
chr2:135979965-135979992	chr2	135979965	135979992	4	0.867678958785249
chr11:125794409-125794445	chr11	125794409	125794445	8	1.7353579175705
chr1:14350586-14350586	chr1	14350586	14350586	2	0.433839479392625
chr1:35953520-35953520	chr1	35953520	35953520	2	0.433839479392625
chr4:119076016-119076016	chr4	119076016	119076016	2	0.433839479392625
chrY:2725259-2725259	chrY	2725259	2725259	2	0.433839479392625
chrX:58534241-58534241	chrX	58534241	58534241	3	0.650759219088937
chr6:15786059-15786059	chr6	15786059	15786059	2	0.433839479392625
chr11:104999757-104999783	chr11	104999757	104999783	3	0.650759219088937
chr3:173113883-173113883	chr3	173113883	173113883	2	0.433839479392625
chr1:150618743-150618743	chr1	150618743	150618743	2	0.433839479392625
chr4:149150493-149150493	chr4	149150493	149150493	2	0.433839479392625
chr13:73893939-73893939	chr13	73893939	73893939	2	0.433839479392625
chr12:56755737-56755737	chr12	56755737	56755737	2	0.433839479392625
chr3:117366848-117366848	chr3	117366848	117366848	2	0.433839479392625
chr1:143486497-143486500	chr1	143486497	143486500	3	0.650759219088937
chr14:50272989-50273015	chr14	50272989	50273015	2	0.433839479392625
chrY:10164087-10164087	chrY	10164087	10164087	2	0.433839479392625
chr2:233087909-233087936	chr2	233087909	233087936	2	0.433839479392625
chr2:193851629-193851629	chr2	193851629	193851629	2	0.433839479392625
chr4:118316025-118316031	chr4	118316025	118316031	9	1.95227765726681
chr14:81548426-81548468	chr14	81548426	81548468	2	0.433839479392625
chr14:51755619-51755619	chr14	51755619	51755619	2	0.433839479392625
chr4:106084986-106084986	chr4	106084986	106084986	2	0.433839479392625
chrX:26826068-26826068	chrX	26826068	26826068	2	0.433839479392625
chr12:100416838-100416839	chr12	100416838	100416839	3	0.650759219088937
chr6:20419342-20419353	chr6	20419342	20419353	2	0.433839479392625
chr9:43160908-43160908	chr9	43160908	43160908	2	0.433839479392625
chr8:93239488-93239488	chr8	93239488	93239488	2	0.433839479392625
chr2:112063747-112063752	chr2	112063747	112063752	3	0.650759219088937
chr15:65833702-65833702	chr15	65833702	65833702	2	0.433839479392625
chrX:48076295-48076295	chrX	48076295	48076295	2	0.433839479392625
chr12:33534999-33534999	chr12	33534999	33534999	2	0.433839479392625
chrY:14773773-14773773	chrY	14773773	14773773	2	0.433839479392625
chr16:723811-723835	chr16	723811	723835	4	0.867678958785249
chr22:44455770-44455794	chr22	44455770	44455794	5	1.08459869848156
chr13:59987725-59987725	chr13	59987725	59987725	2	0.433839479392625
chr9:10493457-10493457	chr9	10493457	10493457	2	0.433839479392625
