id	chr	start	end	tag	tag%	abs
chr6:123527012-123527019	chr6	123527012	123527019	2	0.191021967526266	0.0697933
chr8:38159740-38159740	chr8	38159740	38159740	1	0.0955109837631328	0.0348966
chr8:17994376-17994376	chr8	17994376	17994376	2	0.191021967526266	0.0697933
chr2:95121398-95121398	chr2	95121398	95121398	2	0.191021967526266	0.0697933
chr3:28091469-28091477	chr3	28091469	28091477	3	0.286532951289398	0.10469
chr21:9016555-9016555	chr21	9016555	9016555	1	0.0955109837631328	0.0348966
chr3:52609817-52609817	chr3	52609817	52609817	2	0.191021967526266	0.0697933
chr1:84981923-84981945	chr1	84981923	84981945	2	0.191021967526266	0.0697933
chr1:161463034-161463034	chr1	161463034	161463034	1	0.0955109837631328	0.0348966
chr16:6549700-6549700	chr16	6549700	6549700	2	0.191021967526266	0.0697933
chr2:28609547-28609547	chr2	28609547	28609547	1	0.0955109837631328	0.0348966
chr6:91481377-91481377	chr6	91481377	91481377	1	0.0955109837631328	0.0348966
chr2:119955279-119955279	chr2	119955279	119955279	1	0.0955109837631328	0.0348966
chr1:121907578-121907578	chr1	121907578	121907578	1	0.0955109837631328	0.0348966
chrX:136606335-136606335	chrX	136606335	136606335	2	0.191021967526266	0.0697933
chr15:31344804-31344804	chr15	31344804	31344804	1	0.0955109837631328	0.0348966
chr2:16791059-16791059	chr2	16791059	16791059	2	0.191021967526266	0.0697933
chr21:31670849-31670849	chr21	31670849	31670849	1	0.0955109837631328	0.0348966
chr3:76209570-76209570	chr3	76209570	76209570	1	0.0955109837631328	0.0348966
chr20:23361014-23361014	chr20	23361014	23361014	1	0.0955109837631328	0.0348966
chr9:41030221-41030270	chr9	41030221	41030270	4	0.382043935052531	0.139587
chr6:31669150-31669150	chr6	31669150	31669150	1	0.0955109837631328	0.0348966
chr5:116372250-116372250	chr5	116372250	116372250	2	0.191021967526266	0.0697933
chr6:90276776-90276776	chr6	90276776	90276776	1	0.0955109837631328	0.0348966
chr11:133724422-133724422	chr11	133724422	133724422	1	0.0955109837631328	0.0348966
chr20:28944272-28944272	chr20	28944272	28944272	1	0.0955109837631328	0.0348966
chr1:54695652-54695652	chr1	54695652	54695652	1	0.0955109837631328	0.0348966
chr4:127689319-127689319	chr4	127689319	127689319	1	0.0955109837631328	0.0348966
chr2:62033306-62033306	chr2	62033306	62033306	1	0.0955109837631328	0.0348966
chrX:7937033-7937033	chrX	7937033	7937033	1	0.0955109837631328	0.0348966
chr21:9558489-9558512	chr21	9558489	9558512	2	0.191021967526266	0.0697933
chr5:5464305-5464311	chr5	5464305	5464311	6	0.573065902578797	0.20938
chrY:11163481-11163481	chrY	11163481	11163481	1	0.0955109837631328	0.0348966
chr21:45484314-45484314	chr21	45484314	45484314	1	0.0955109837631328	0.0348966
chr3:144294842-144294842	chr3	144294842	144294842	1	0.0955109837631328	0.0348966
chr6:164135659-164135659	chr6	164135659	164135659	1	0.0955109837631328	0.0348966
chr5:152252300-152252345	chr5	152252300	152252345	4	0.382043935052531	0.139587
chr13:48302395-48302437	chr13	48302395	48302437	25	2.38777459407832	0.872416
chrY:56730756-56730756	chrY	56730756	56730756	1	0.0955109837631328	0.0348966
chr17:8222238-8222238	chr17	8222238	8222238	1	0.0955109837631328	0.0348966
chr4:49709260-49709260	chr4	49709260	49709260	2	0.191021967526266	0.0697933
chrX:22038869-22038869	chrX	22038869	22038869	1	0.0955109837631328	0.0348966
chr11:81031353-81031387	chr11	81031353	81031387	2	0.191021967526266	0.0697933
chr2:44900085-44900085	chr2	44900085	44900085	1	0.0955109837631328	0.0348966
chr4:187849210-187849210	chr4	187849210	187849210	1	0.0955109837631328	0.0348966
