Position in alignment,KF797818.1 - KY007253.1,KF797818.1 - KY007246.1,KY007253.1 - KY007246.1
20,0,88,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,0,0,0
280,0,0,0
300,0,0,0
320,0,0,0
340,0,0,0
360,0,0,0
380,0,0,0
400,0,0,0
420,0,0,0
440,0,0,0
460,0,0,0
480,0,0,0
500,0,0,0
520,0,0,0
540,0,0,0
560,0,0,0
580,0,0,0
600,0,0,0
620,0,0,0
640,0,0,72
660,0,0,87
680,0,0,94
700,0,0,97
720,0,0,100
740,0,0,99
760,0,0,99
780,0,0,100
800,0,0,100
820,0,0,100
840,0,0,100
860,0,0,100
880,0,0,97
900,0,0,100
920,0,0,90
940,0,0,89
960,0,0,87
980,0,0,84
1000,0,0,89
1020,0,0,85
1040,0,0,92
1060,0,0,87
1080,0,0,75
1100,0,0,63
1120,0,0,65
1140,0,0,59
1160,0,0,65
1180,0,0,63
1200,0,0,51
1220,0,0,67
1240,0,0,65
1260,0,0,0
1280,0,0,0
1300,0,0,62
1320,0,0,61
1340,0,0,65
1360,0,0,67
1380,0,0,63
1400,0,0,66
1420,0,0,68
1440,0,0,65
1460,0,0,59
1480,0,0,58
1500,0,0,0
1520,0,0,0
1540,0,0,0
1560,0,0,0
1580,0,0,0
1600,0,0,0
1620,0,0,0
1640,0,0,0
1660,0,0,0
1680,0,0,0
1700,0,0,0
1720,0,0,71
1740,0,0,60
1760,0,0,66
1780,0,0,63
1800,0,0,87
1820,0,0,86
1840,0,15,57
1860,0,15,64
1880,0,21,63
1900,0,21,64
1920,0,25,41
1940,0,33,36
1960,0,33,32
1980,0,24,55
2000,0,28,40
2020,0,34,29
2040,0,0,88
2060,0,0,88
2080,0,0,95
2100,0,0,100
2120,0,0,99
2140,0,0,96
2160,0,0,99
2180,0,0,95
2200,0,0,98
2220,0,0,93
2240,0,0,88
2260,0,0,95
2280,0,0,65
2300,0,0,0
2320,0,0,0
2340,0,0,0
2360,0,0,0
2380,0,0,0
2400,0,0,0
2420,0,0,68
2440,0,0,62
2460,0,0,68
2480,0,0,57
2500,0,0,67
2520,0,0,67
2540,0,0,61
2560,0,0,68
2580,0,0,70
2600,0,0,64
2620,0,0,0
2640,0,0,0
2660,0,0,0
2680,0,0,0
2700,0,0,0
2720,0,0,0
2740,0,0,71
2760,0,0,91
2780,0,0,88
2800,0,0,83
2820,0,0,82
2840,0,0,88
2860,0,0,92
2880,0,0,95
2900,0,0,98
2920,0,0,95
2940,0,0,81
2960,0,0,87
2980,0,0,87
3000,0,0,91
3020,0,0,91
3040,0,0,87
3060,0,0,64
3080,0,0,69
3100,0,0,71
3120,0,0,66
3140,0,0,61
3160,0,0,0
3180,0,0,69
3200,0,0,62
3220,0,0,58
3240,0,0,61
3260,0,0,57
3280,0,0,71
3300,0,0,68
3320,0,0,62
3340,0,0,52
3360,0,0,75
3380,0,0,0
3400,0,0,0
3420,0,0,69
3440,0,0,87
3460,0,0,82
3480,0,0,87
3500,0,0,95
3520,0,0,96
3540,0,0,94
3560,0,0,97
3580,0,0,92
3600,0,0,99
3620,0,0,85
3640,0,0,64
3660,0,0,57
3680,0,0,58
3700,0,0,0
3720,0,0,0
3740,0,0,62
3760,0,0,61
3780,0,0,65
3800,0,0,67
3820,0,0,63
3840,0,0,66
3860,0,0,68
3880,0,0,65
3900,0,0,59
3920,0,0,58
3940,0,0,0
3960,0,0,0
3980,0,0,0
4000,0,0,62
4020,0,0,64
4040,0,0,67
4060,0,0,63
4080,0,0,60
4100,0,0,91
4120,0,0,94
4140,0,0,98
4160,0,0,98
4180,0,0,91
4200,0,0,90
4220,0,0,88
4240,0,0,85
4260,0,0,84
4280,0,0,82
4300,0,0,0
4320,0,0,0
4340,0,0,0
4360,0,0,65
4380,0,0,75
4400,0,0,63
4420,0,0,65
4440,0,0,59
4460,0,0,65
4480,0,0,63
4500,0,0,51
4520,0,0,67
4540,0,0,65
4560,0,0,0
4580,0,0,0
4600,0,71,0
4620,0,69,0
4640,0,88,0
4660,0,84,0
4680,0,88,0
4700,0,84,0
4720,0,84,0
4740,0,92,0
4760,0,90,0
4780,0,92,0
4800,0,61,0
4820,0,61,0
4840,0,0,0
4860,0,0,0
4880,0,0,0
4900,0,0,0
4920,0,0,0
4940,0,0,0
4960,0,0,0
4980,0,0,0
5000,0,0,0
5020,0,0,0
5040,0,0,0
5060,0,0,0
5080,0,0,0
5100,0,0,0
5120,0,0,0
5140,0,0,0
5160,0,0,0
5180,0,0,0
5200,0,0,0
5220,0,0,0
5240,0,0,0
5260,0,0,0
5280,0,0,0
5300,57,0,0
5320,63,0,0
5340,64,0,0
5360,66,0,0
5380,63,0,0
5400,60,0,0
5420,73,0,0
5440,63,0,0
5460,57,0,0
5480,59,0,0
5500,0,0,0
5520,0,62,0
5540,0,89,0
5560,0,86,0
5580,0,82,0
5600,0,89,0
5620,0,93,0
5640,0,98,0
5660,0,92,0
5680,0,93,0
5700,0,98,0
5720,0,93,0
5740,0,88,0
5760,0,86,0
5780,0,88,0
5800,0,87,0
5820,0,68,0
5840,0,87,0
5860,0,82,0
5880,0,85,0
5900,0,59,0
5920,0,59,0
5940,0,67,0
5960,0,60,0
5980,0,81,0
6000,0,100,0
6020,0,99,0
6040,0,93,0
6060,0,94,0
6080,0,93,0
6100,0,96,0
6120,0,94,0
6140,0,99,0
