id	chr	start	end	tag	tag%
chr14:50200584-50200584	chr14	50200584	50200584	2	2.29885057471264
chr3:14510186-14510186	chr3	14510186	14510186	2	2.29885057471264
chr18:109924-109924	chr18	109924	109924	2	2.29885057471264
chr3:93470778-93470778	chr3	93470778	93470778	2	2.29885057471264
chr8:42390774-42390774	chr8	42390774	42390774	3	3.44827586206897
chr4:53679078-53679125	chr4	53679078	53679125	2	2.29885057471264
chr6:45450858-45450858	chr6	45450858	45450858	2	2.29885057471264
chr7:143888374-143888374	chr7	143888374	143888374	2	2.29885057471264
chr12:28221657-28221657	chr12	28221657	28221657	2	2.29885057471264
chr18:108913-108913	chr18	108913	108913	2	2.29885057471264
chr7:82747285-82747286	chr7	82747285	82747286	2	2.29885057471264
chr13:87297180-87297180	chr13	87297180	87297180	2	2.29885057471264
chr4:119218294-119218294	chr4	119218294	119218294	2	2.29885057471264
chr3:150218458-150218464	chr3	150218458	150218464	3	3.44827586206897
chr13:70046329-70046353	chr13	70046329	70046353	6	6.89655172413793
chr14:24279208-24279210	chr14	24279208	24279210	4	4.59770114942529
chr11:95928080-95928127	chr11	95928080	95928127	3	3.44827586206897
chr21:10118339-10118339	chr21	10118339	10118339	2	2.29885057471264
chrY:7395784-7395784	chrY	7395784	7395784	2	2.29885057471264
chr2:143305535-143305535	chr2	143305535	143305535	2	2.29885057471264
chr1:116547660-116547661	chr1	116547660	116547661	4	4.59770114942529
chr4:75565137-75565137	chr4	75565137	75565137	2	2.29885057471264
chr15:21525459-21525459	chr15	21525459	21525459	2	2.29885057471264
chr1:158481015-158481015	chr1	158481015	158481015	2	2.29885057471264
chr3:121598317-121598357	chr3	121598317	121598357	7	8.04597701149425
chr14:67297538-67297580	chr14	67297538	67297580	3	3.44827586206897
chr15:21962743-21962743	chr15	21962743	21962743	2	2.29885057471264
chr3:118581712-118581712	chr3	118581712	118581712	2	2.29885057471264
chr3:76739828-76739828	chr3	76739828	76739828	2	2.29885057471264
chr3:69354449-69354449	chr3	69354449	69354449	2	2.29885057471264
chr4:25567198-25567198	chr4	25567198	25567198	2	2.29885057471264
chr2:209615455-209615455	chr2	209615455	209615455	2	2.29885057471264
chr10:70514868-70514868	chr10	70514868	70514868	2	2.29885057471264
chr10:11914684-11914684	chr10	11914684	11914684	2	2.29885057471264
chr7:105532178-105532221	chr7	105532178	105532221	2	2.29885057471264
