id	chr	start	end	tag	tag%
chr8:19345318-19345318	chr8	19345318	19345318	2	0.10911074740862
chr4:64803095-64803095	chr4	64803095	64803095	4	0.218221494817239
chr4:6936305-6936349	chr4	6936305	6936349	2	0.10911074740862
chr17:39491730-39491730	chr17	39491730	39491730	2	0.10911074740862
chr10:95751300-95751300	chr10	95751300	95751300	3	0.16366612111293
chr2:32916261-32916608	chr2	32916261	32916608	51	2.7823240589198
chr9:36347152-36347152	chr9	36347152	36347152	2	0.10911074740862
chr20:45191614-45191614	chr20	45191614	45191614	2	0.10911074740862
chr18:47037583-47037583	chr18	47037583	47037583	2	0.10911074740862
chr4:8956271-8956311	chr4	8956271	8956311	2	0.10911074740862
chr4:163069535-163069535	chr4	163069535	163069535	2	0.10911074740862
chr13:49215687-49215687	chr13	49215687	49215687	2	0.10911074740862
chr17:48740373-48740373	chr17	48740373	48740373	3	0.16366612111293
chr7:68387219-68387220	chr7	68387219	68387220	2	0.10911074740862
chr20:25390478-25390478	chr20	25390478	25390478	2	0.10911074740862
chr2:49248624-49248651	chr2	49248624	49248651	2	0.10911074740862
chr1:167671797-167671847	chr1	167671797	167671847	1736	94.7081287506819
chr19:13226270-13226270	chr19	13226270	13226270	2	0.10911074740862
chr2:129479442-129479442	chr2	129479442	129479442	2	0.10911074740862
chrY:289796-289796	chrY	289796	289796	2	0.10911074740862
chr9:99582476-99582522	chr9	99582476	99582522	2	0.10911074740862
chr4:141990828-141990828	chr4	141990828	141990828	2	0.10911074740862
chr2:159959984-159959984	chr2	159959984	159959984	2	0.10911074740862
