id	chr	start	end	tag	tag%
chr4:9024439-9024445	chr4	9024439	9024445	2	1.50375939849624
chrY:18468618-18468618	chrY	18468618	18468618	2	1.50375939849624
chr18:2545764-2545764	chr18	2545764	2545764	2	1.50375939849624
chr6:39713996-39714015	chr6	39713996	39714015	4	3.00751879699248
chr13:82176400-82176400	chr13	82176400	82176400	2	1.50375939849624
chr3:170049108-170049108	chr3	170049108	170049108	3	2.25563909774436
chr21:8253963-8253963	chr21	8253963	8253963	3	2.25563909774436
chr6:28225241-28225273	chr6	28225241	28225273	7	5.26315789473684
chr22:45949161-45949161	chr22	45949161	45949161	4	3.00751879699248
chr11:117289079-117289079	chr11	117289079	117289079	3	2.25563909774436
chr2:75514881-75514881	chr2	75514881	75514881	2	1.50375939849624
chr16:75378812-75378812	chr16	75378812	75378812	3	2.25563909774436
chr1:164129229-164129263	chr1	164129229	164129263	3	2.25563909774436
chrX:76344595-76344595	chrX	76344595	76344595	2	1.50375939849624
chr16:51133761-51133761	chr16	51133761	51133761	2	1.50375939849624
chr5:165875897-165875908	chr5	165875897	165875908	2	1.50375939849624
chr5:51824537-51824537	chr5	51824537	51824537	2	1.50375939849624
chr4:59876576-59876623	chr4	59876576	59876623	3	2.25563909774436
chr20:8439274-8439274	chr20	8439274	8439274	2	1.50375939849624
chr21:19802709-19802709	chr21	19802709	19802709	2	1.50375939849624
chr20:62311793-62311796	chr20	62311793	62311796	2	1.50375939849624
chr6:89354904-89354904	chr6	89354904	89354904	2	1.50375939849624
chr12:127554128-127554128	chr12	127554128	127554128	2	1.50375939849624
chr2:159187403-159187426	chr2	159187403	159187426	2	1.50375939849624
chr11:48046437-48046483	chr11	48046437	48046483	4	3.00751879699248
chrX:107285167-107285167	chrX	107285167	107285167	2	1.50375939849624
chr3:75548830-75548830	chr3	75548830	75548830	2	1.50375939849624
chr8:115426716-115426716	chr8	115426716	115426716	2	1.50375939849624
chr5:33457183-33457209	chr5	33457183	33457209	9	6.76691729323308
chr4:190066731-190066731	chr4	190066731	190066731	2	1.50375939849624
chr18:2451755-2451762	chr18	2451755	2451762	2	1.50375939849624
chr5:111282967-111282967	chr5	111282967	111282967	2	1.50375939849624
chr13:70162165-70162165	chr13	70162165	70162165	2	1.50375939849624
chr5:131151519-131151526	chr5	131151519	131151526	2	1.50375939849624
chr11:71663662-71663662	chr11	71663662	71663662	2	1.50375939849624
chr16:32325642-32325643	chr16	32325642	32325643	2	1.50375939849624
chr21:8209753-8210754	chr21	8209753	8210754	4	3.00751879699248
chr5:102756243-102756276	chr5	102756243	102756276	2	1.50375939849624
chr2:24856381-24856381	chr2	24856381	24856381	3	2.25563909774436
chr4:4083367-4083367	chr4	4083367	4083367	2	1.50375939849624
chr17:21970505-21970505	chr17	21970505	21970505	2	1.50375939849624
chr21:36804269-36804269	chr21	36804269	36804269	2	1.50375939849624
chr3:88328832-88328832	chr3	88328832	88328832	2	1.50375939849624
chrY:17234745-17234745	chrY	17234745	17234745	2	1.50375939849624
chr12:120293744-120293744	chr12	120293744	120293744	2	1.50375939849624
chr4:84373221-84373262	chr4	84373221	84373262	3	2.25563909774436
chr17:9025197-9025216	chr17	9025197	9025216	3	2.25563909774436
chr17:24152134-24152134	chr17	24152134	24152134	2	1.50375939849624
chr8:63832187-63832229	chr8	63832187	63832229	4	3.00751879699248
chr9:61369409-61369409	chr9	61369409	61369409	2	1.50375939849624
chr4:34718468-34718468	chr4	34718468	34718468	2	1.50375939849624
