Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 1,KF797883.1,Recombinant, 22.3312853049535, 20, 10, 10, 0, 10, 0, 0, 8, 8, 11.6993608268573, 9.64735516372796, 4, 2, 20, 5, 5, 20,
 1,KY007257.1,MajorParent, 2.81097594080224, 0, 0, 5, 0, 0, 0, 0, 4, 4, 3.25274669977896, 3.50125944584383, 0, 0, 10, 2.5, 0, 0,
 1,JX891479.1,MinorParent, 4.85773875424423, 10, 5, 0, 0, 0, 0, 0, 0, 0, 5.04789247336375, 0, 0, 1, 0, 0, 0, 15,
 2,KF797853.1,Recombinant, 21.586305379309, 20, 10, 10, 0, 10, 0, 0, 8, 8, 6.65934453792092, 6.09571788413098, 4, 2, 20, 5, 5, 20,
 2,KF797882.1,MajorParent, 3.33384851622279, 0, 5, 0, 0, 0, 0, 0, 0, 0, 6.50378659423747, 0, 2, 1, 0, 0, 0, 15,
 2,JX891478.1,MinorParent, 5.07984610446825, 10, 0, 5, 0, 0, 0, 0, 4, 4, 6.83686886784161, 2.82115869017632, 0, 0, 10, 2.5, 0, 0,
 4,KF797831.1,Recombinant, 19.6551803169244, 20, 10, 10, 0, 10, 0, 0, 0, 8, 8.66954569606228, 9.79848866498741, 4, 2, 20, 5, 5, 20,
 4,PE_SS08_S5,MajorParent, 10.3448196830756, 0, 5, 5, 0, 0, 0, 0, 8, 0, 6.32737709451379, 0, 2, 0, 0, 0, 0, 15,
 4,JX891478.1,MinorParent, 0, 10, 0, 0, 0, 0, 0, 0, 4, 4, 5.00307720942392, 8.46347607052897, 0, 1, 10, 2.5, 0, 0,
 5,LC192501.1,Recombinant, 21.9073441663928, 20, 1, 10, 10, 10, 8, 18, 8, 8, 11.5039497887227, 3.60201511335013, 4, 2, 20, 5, 5, 15,
 5,LC210014.1,MajorParent, 3.87234992242773, 0, 1, 0, 0, 0, 4, 14, 0, 4, 3.62776166609805, 8.26196473551637, 0, 0, 0, 0, 0, 20,
 5,LC192526.1,MinorParent, 4.22030591117947, 10, 1, 5, 5, 0, 0, 0, 4, 0, 4.86828854517927, 0, 2, 1, 0, 2.5, 5, 0,
 7,KY007246.1,Recombinant, 19.5171902598148, 20, 10, 10, 10, 10, 4, 14, 8, 8, 9.36380635363203, 3.86934673366834, 4, 2, 20, 5, 0, 20,
 7,KF797818.1,MajorParent, 2.39417284676012, 0, 0, 0, 5, 0, 0, 0, 0, 4, 4.79599843358194, 6.70854271356784, 0, 0, 0, 2.5, 0, 15,
 7,KY007253.1,MinorParent, 8.08863689342513, 20, 10, 5, 0, 0, 8, 18, 4, 0, 5.84019521278603, 2.28643216080402, 2, 1, 10, 0, 0, 0,
 8,MN781156.1,Recombinant, 15.0387158778747, 0, 10, 5, 10, 10, 8, 18, 4, 0, 8.77945943269763, 3.41708542713568, 2, 1, 10, 5, 0, 15,
 8,LC192511.1,MajorParent, 14.9612841221253, 20, 10, 10, 0, 0, 0, 0, 8, 8, 6.14822521992433, 7.06030150753769, 4, 2, 20, 2.5, 0, 20,
 8,LC183873.1,MinorParent, 0, 10, 0, 0, 5, 0, 4, 14, 0, 4, 5.07231534737804, 1.33165829145729, 0, 0, 0, 0, 0, 0,
