Position in alignment,LC192511.1 - LC183873.1,LC192511.1 - MN781156.1,LC183873.1 - MN781156.1
20,2,0,98
40,0,0,100
60,0,0,100
80,0,0,100
100,1,0,99
120,2,0,98
140,6,0,92
160,54,0,36
180,100,0,0
200,100,0,0
220,99,0,0
240,99,0,0
260,100,0,0
280,100,0,0
300,99,0,0
320,98,0,0
340,100,0,0
360,99,0,0
380,98,0,0
400,92,0,0
420,59,0,0
440,67,0,0
460,89,0,0
480,77,0,0
500,97,0,0
520,98,0,0
540,100,0,0
560,98,0,0
580,100,0,0
600,100,0,0
620,100,0,0
640,100,0,0
660,100,0,0
680,100,0,0
700,100,0,0
720,100,0,0
740,100,0,0
760,100,0,0
780,100,0,0
800,97,0,0
820,100,0,0
840,100,0,0
860,100,0,0
880,100,0,0
900,100,0,0
920,100,0,0
940,97,0,0
960,99,0,0
980,98,0,0
1000,99,0,0
1020,99,0,0
1040,95,0,0
1060,95,0,0
1080,99,0,0
1100,97,0,0
1120,96,0,0
1140,90,0,0
1160,98,0,0
1180,99,0,0
1200,100,0,0
1220,94,0,0
1240,94,0,0
1260,92,0,0
1280,85,0,0
1300,89,0,0
1320,87,0,0
1340,84,0,0
1360,90,0,0
1380,84,0,0
1400,66,0,0
1420,63,0,0
1440,58,0,0
1460,64,0,0
1480,58,0,0
1500,64,0,0
1520,57,0,0
1540,85,0,0
1560,63,0,0
1580,69,0,0
1600,90,0,0
1620,95,0,0
1640,96,0,0
1660,100,0,0
1680,96,0,0
1700,100,0,0
1720,99,0,0
1740,99,0,0
1760,97,0,0
1780,98,0,0
1800,93,0,0
1820,83,0,0
1840,99,0,0
1860,93,0,0
1880,96,0,0
1900,98,0,0
1920,82,0,0
1940,98,0,0
1960,100,0,0
1980,97,0,0
2000,98,0,0
2020,98,0,0
2040,100,0,0
2060,100,0,0
2080,99,0,0
2100,100,0,0
2120,100,0,0
2140,100,0,0
2160,97,0,0
2180,99,0,0
2200,98,0,0
2220,100,0,0
2240,100,0,0
2260,99,0,0
2280,100,0,0
2300,97,0,0
2320,100,0,0
2340,89,5,0
2360,95,3,0
2380,97,0,0
2400,99,1,0
2420,94,1,0
2440,92,4,0
2460,96,1,0
2480,95,2,0
2500,95,1,0
2520,89,6,0
2540,98,0,0
2560,95,0,0
2580,97,0,0
2600,75,0,0
2620,98,0,0
2640,87,0,0
2660,80,0,0
2680,92,0,0
2700,99,0,0
2720,98,0,0
2740,98,0,0
2760,99,0,0
2780,98,0,0
2800,98,0,0
2820,83,0,0
2840,87,0,0
2860,95,0,0
2880,93,0,0
2900,92,0,0
2920,93,0,0
2940,59,0,0
2960,67,0,0
2980,60,0,0
3000,53,0,0
3020,88,0,0
3040,82,0,0
3060,58,0,0
3080,61,0,0
3100,57,0,0
3120,71,0,0
3140,91,0,0
3160,92,0,0
3180,84,0,0
3200,90,0,0
3220,87,0,0
3240,91,0,0
3260,90,0,0
3280,90,0,0
3300,84,0,0
3320,69,0,0
3340,87,0,0
3360,96,0,0
3380,96,0,0
3400,100,0,0
3420,98,0,0
3440,100,0,0
3460,99,0,0
3480,100,0,0
3500,100,0,0
3520,99,0,0
3540,98,0,0
3560,85,0,0
3580,89,0,0
3600,91,0,0
3620,63,0,0
3640,57,0,0
3660,59,0,0
3680,0,0,0
3700,65,0,0
3720,62,0,0
3740,71,0,0
3760,28,33,0
3780,31,35,0
3800,64,17,0
3820,88,3,0
3840,95,1,0
3860,95,1,0
3880,80,10,0
