id	chr	start	end	tag	tag%
chr8:119934480-119934480	chr8	119934480	119934480	2	2.32558139534884
chr4:28320847-28320847	chr4	28320847	28320847	2	2.32558139534884
chr3:93470519-93470566	chr3	93470519	93470566	2	2.32558139534884
chr13:55873996-55873996	chr13	55873996	55873996	2	2.32558139534884
chr15:47329324-47329324	chr15	47329324	47329324	2	2.32558139534884
chr19:57272028-57272028	chr19	57272028	57272028	2	2.32558139534884
chr1:16585118-16585124	chr1	16585118	16585124	4	4.65116279069767
chr8:38968044-38968044	chr8	38968044	38968044	3	3.48837209302326
chr8:94817213-94817213	chr8	94817213	94817213	4	4.65116279069767
chr8:50791931-50791977	chr8	50791931	50791977	2	2.32558139534884
chr20:37832824-37832824	chr20	37832824	37832824	2	2.32558139534884
chr1:16578827-16578827	chr1	16578827	16578827	2	2.32558139534884
chr21:39011361-39011365	chr21	39011361	39011365	2	2.32558139534884
chr11:99568506-99568506	chr11	99568506	99568506	3	3.48837209302326
chr16:48649813-48649813	chr16	48649813	48649813	2	2.32558139534884
chr16:53045383-53045383	chr16	53045383	53045383	2	2.32558139534884
chr11:50571602-50571602	chr11	50571602	50571602	2	2.32558139534884
chr2:183143713-183143713	chr2	183143713	183143713	2	2.32558139534884
chr1:67071968-67071968	chr1	67071968	67071968	2	2.32558139534884
chr9:75445563-75445603	chr9	75445563	75445603	8	9.30232558139535
chr10:45972619-45972638	chr10	45972619	45972638	2	2.32558139534884
chr10:41851056-41851056	chr10	41851056	41851056	2	2.32558139534884
chr5:71791590-71791624	chr5	71791590	71791624	2	2.32558139534884
chrY:10799283-10799283	chrY	10799283	10799283	4	4.65116279069767
chr4:22646025-22646025	chr4	22646025	22646025	2	2.32558139534884
chr10:35921912-35921916	chr10	35921912	35921916	2	2.32558139534884
chr1:24780484-24780490	chr1	24780484	24780490	2	2.32558139534884
chr6:121780674-121780674	chr6	121780674	121780674	2	2.32558139534884
chr22:16727389-16727389	chr22	16727389	16727389	2	2.32558139534884
chr1:69315495-69315495	chr1	69315495	69315495	2	2.32558139534884
chr5:80877885-80877932	chr5	80877885	80877932	2	2.32558139534884
chr6:76810772-76810772	chr6	76810772	76810772	2	2.32558139534884
chr1:51377363-51377363	chr1	51377363	51377363	2	2.32558139534884
chr7:19717197-19717202	chr7	19717197	19717202	4	4.65116279069767
chr2:224223899-224223933	chr2	224223899	224223933	2	2.32558139534884
